GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1009068.0,110000468921.0,2023.0,BIG WEST OIL LLC,333 WEST CENTER STREET,NORTH SALT LAKE,UT,84054,DAVIS COUNTY,FJ MANAGEMENT INC,185 State St #201,Salt Lake City,UT,84111,100.0,324110.0,1009068,40.838386,-111.921443,Direct Point Emitters,other
1009080.0,110000448659.0,2023.0,"Valero Refining - New Orleans, L.L.C.",14902 RIVER ROAD,NORCO,LA,70079,ST. CHARLES PARISH,VALERO ENERGY CORP,1 Valero Way,San Antonio,TX,78249,100.0,324110.0,1009080,29.985278,-90.392778,Direct Point Emitters,VALERO ENERGY CORP
1009291.0,110000600378.0,2023.0,"SILVER EAGLE REFINING, INCORPORATED",2990 COUNTY ROAD 180,EVANSTON,WY,82930,UINTA COUNTY,THE INTERNATIONAL GROUP INC,1100 East Main Street,Titusville,PA,16354-0128,100.0,324110.0,1009291,41.2616,-110.807,Direct Point Emitters,other
1010774.0,110000476048.0,2023.0,Valero Wilmington Asphalt Plant,1651 Alameda Street,Wilmington,CA,90744,LOS ANGELES COUNTY,VALERO ENERGY CORP,1 Valero Way,San Antonio,TX,78249,100.0,324110.0,1010774,33.79699,-118.23971,Direct Point Emitters,VALERO ENERGY CORP
1011719.0,110071159860.0,2023.0,GP Condensate Splitter,407 Clinton Drive,Galena Park,TX,77547,HARRIS COUNTY,KINDER MORGAN INC,"1001 Louisiana St, Suite 1000",Houston,TX,77002,100.0,324110.0,1011719,29.732598,-95.220457,Direct Point Emitters,other
1011920.0,110058933800.0,2023.0,Buckeye Texas Processing LLC,7209 Up River Road,Corpus Christi,TX,78409,NUECES COUNTY,BUCKEYE PARTNERS LP,"1 Greenway Plaza, Suite 600",Houston,TX,77046,100.0,324110.0,1011920,27.818373,-97.502778,Direct Point Emitters,other
1012506.0,110020147465.0,2023.0,Corpus Christi Terminal Condensate Splitter,1802 Poth Lane,Corpus Christi,TX,78407,NUECES COUNTY,ONEOK INC,100 West Fifth Street,Tulsa,OK,74103,100.0,324110.0,1012506,27.811804,-97.435631,Direct Point Emitters,other
1013186.0,110070789259.0,2023.0,Hartree Channelview Facility,16518 De Zavalla Road,Channelview,TX,77530,HARRIS COUNTY,HARTREE CHANNELVIEW LLC,16518 De Zavalla Road,Channelview,TX,77530,100.0,324110.0,1013186,29.767641,-95.105138,Direct Point Emitters,other
1013281.0,110000486304.0,2023.0,Par West Refinery,"91-480 Malakole Street, Bldg. CCB",Kapolei,HI,96707,HONOLULU COUNTY,PAR PACIFIC HOLDINGS INC,"825 Town And County Lane, Suite 1500",Houston,TX,77024,100.0,324110.0,1013281,21.313495,-158.113794,Direct Point Emitters,PAR PACIFIC HOLDINGS INC
1014559.0,110031267064.0,2023.0,Deer Park Refining Limited Partnership,5900 Highway 225 East,Deer Park,TX,77536,HARRIS COUNTY,DEER PARK REFINING LP,5900 Highway 225,Deer Park,TX,77536,100.0,324110.0,1014559,29.722222,-95.126944,Direct Point Emitters,other
1014593.0,,2023.0,Galveston Crude Processing Unit,4800 Old Port Industrial Road,Galveston,TX,77554,,TEXAS INTERNATIONAL REFINING CO LLC,4800 Old Port Industrial Road,Galveston,TX,77554,100.0,324110.0,1014593,29.2992257417236,-94.8301353532786,Direct Point Emitters,other
