GHGRP FACILITY ID,PRIMARY_OPERATOR
1000175.0,CPN MANAGEMENT LP
1000176.0,Lake County Board of County Commissioners
1000179.0,Enbridge (US) Inc
1000180.0,Enbridge (US) Inc
1000181.0,TRI-STATE GENERATION & TRANSMISSION ASSOC INC
1000182.0,MICHIGAN PUBLIC POWER AGENCY
1000183.0,PIXELLE SPECIALTY SOLUTIONS LLC
1000184.0,DART CONTAINER CORP
1000185.0,ARKANSAS ELECTRIC COOPERATIVE CORP
1000186.0,THE PROCTER & GAMBLE CO
1000190.0,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE
1000191.0,WASTE CONNECTIONS US INC
1000192.0,AMEREN CORP
1000193.0,THE INTERNATIONAL GROUP INC
1000196.0,INTERNATIONAL PAPER CO
1000197.0,NBM US HOLDINGS INC
1000198.0,LEHIGH WHITE CEMENT CO LLC
1000201.0,UNIVERSITY OF TENNESSEE
1000203.0,GREAT RIVER ENERGY
1000205.0,OKALOOSA GAS DISTRICT
1000206.0,Enbridge (US) Inc
1000207.0,INVENERGY LLC
1000211.0,GREAT RIVER ENERGY
1000213.0,DENBURY INC
1000214.0,CLEVELAND-CLIFFS INC
1000215.0,POLK COUNTY AUTHORIZED AGENT
1000216.0,COUNTY OF KAUAI HAWAII
1000217.0,WASTE MANAGEMENT INC
1000218.0,WASTE MANAGEMENT INC
1000219.0,XCEL ENERGY INC
1000222.0,WOLVERINE POWER SUPPLY COOPERATIVE INC
1000223.0,BERKSHIRE HATHAWAY INC
1000228.0,INTERNATIONAL PAPER CO
1000229.0,DOMTAR CORP
1000230.0,EVERGREEN PACKAGING GROUP HOLDINGS INC
1000232.0,Eastman Chemical Co
1000233.0,US STEEL CORP
1000234.0,STATE OF NORTH CAROLINA
1000236.0,PERC HOLDINGS 1 LLC
1000237.0,PINNACLE WEST CAPITAL CORP
1000240.0,WESTROCK CO
1000241.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000243.0,HOLCIM PARTICIPATIONS (US) INC
1000244.0,IDACORP INC
1000245.0,Enbridge (US) Inc
1000246.0,ROCKLAND POWER PARTNERS II LP
1000247.0,RC LONESTAR INC
1000248.0,USG CORP
1000249.0,MGE ENERGY INC
1000250.0,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT
1000251.0,AMERICAN BITUMINOUS POWER PARTNERS LP
1000253.0,VICINITY ENERGY INC
1000254.0,WESTLAKE CHEMICAL CORP
1000255.0,ODYSSEY ENERGY ALTURA COGEN LLC
1000256.0,WESTROCK CO
1000258.0,INTERNATIONAL PAPER CO
1000260.0,CLEVELAND-CLIFFS INC
1000261.0,INGREDION INC
1000262.0,WESTROCK CO
1000263.0,DOMINION ENERGY INC
1000264.0,AMEREN CORP
1000265.0,Vistra Corp
1000267.0,J POWER USA DEVELOPMENT CO LTD
1000268.0,J POWER USA DEVELOPMENT CO LTD
1000269.0,JERA ENERGY AMERICA LLC
1000270.0,SOUTHWEST GENERATION OPERATING CO LLC
1000271.0,XCEL ENERGY INC
1000272.0,DOW INC
1000273.0,KOCH INDUSTRIES INC
1000274.0,CLEVELAND-CLIFFS INC
1000276.0,KOCH INDUSTRIES INC
1000277.0,DOMINION ENERGY INC
1000278.0,BERKSHIRE HATHAWAY INC
1000279.0,CPN MANAGEMENT LP
1000282.0,DTE ENERGY CO
1000283.0,MIDDLE RIVER POWER LLC
1000284.0,NEBRASKA PUBLIC POWER DISTRICT
1000286.0,US GOVERNMENT
1000287.0,COUNTY OF BLACK HAWK IOWA
1000288.0,FREEPORT ELECTRIC
1000290.0,HANSON LEHIGH INC
1000291.0,WESTMORELAND WASTE LLC
1000292.0,GREATER DICKSON GAS AUTHORITY
1000293.0,COVANTA HOLDING CORP
1000297.0,EVONIK CORP
1000298.0,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE
1000300.0,CPN MANAGEMENT LP
1000301.0,PUGET SOUND ENERGY INC
1000302.0,DOMINION ENERGY INC
1000303.0,DOMINION ENERGY INC
1000304.0,CARGILL INC
1000305.0,RESOLUTE FP US INC
1000306.0,JOHNS HOPKINS UNIVERSITY
1000310.0,CITY OF SANTA CLARA CALIFORNIA
1000311.0,RESOLUTE FP US INC
1000312.0,DOMINION ENERGY INC
1000315.0,Enbridge (US) Inc
1000316.0,Enbridge (US) Inc
1000317.0,ALLIANT ENERGY CORP
1000318.0,Vistra Corp
1000319.0,WESTROCK CO
1000322.0,HAWKEYE ENERGY GREENPORT LLC
1000323.0,SACRAMENTO MUNICIPAL UTILITY DISTRICT FINANCING AUTHORITY
1000324.0,DOMTAR CORP
1000325.0,INDORAMA VENTURES USA HOLDINGS LP
1000326.0,EXELON CORP
1000328.0,DAIRY FARMERS OF AMERICA INC
1000329.0,CARDINAL GLASS INDUSTRIES INC
1000334.0,TATE & LYLE INGREDIENTS AMERICAS LLC
1000335.0,MARSHALL COUNTY GAS DISTRICT
1000336.0,KOPPERS INC
1000338.0,TORAY INDUSTRIES AMERICA INC
1000342.0,LYONDELLBASELL INDUSTRIES INC
1000343.0,PDV AMERICA INC
1000344.0,GREEN PLAINS INC
1000345.0,KOCH INDUSTRIES INC
1000346.0,AMERICAN AIR LIQUIDE HOLDINGS INC
1000347.0,MIDLAND COGENERATION VENTURE LP
1000348.0,NEW-INDY JV CORP
1000349.0,SEMINOLE COUNTY BOARD OF COUNTY COMMISSIONERS
1000350.0,MDU RESOURCES GROUP INC
1000351.0,MW/MB LLC
1000352.0,GREEN PLAINS INC
1000353.0,SONOCO PRODUCTS CO
1000354.0,SkyWater Technology Inc
1000355.0,CIVITAS RESOURCES INC
1000356.0,"Kensing Holdings, LLC"
1000357.0,CARGILL INC
1000360.0,SANIMAX CORP
1000362.0,COVANTA HOLDING CORP
1000363.0,RAYTHEON TECHNOLOGIES CORP
1000364.0,THE SOUTHERN CO
1000365.0,CITY OF HIGH POINT NORTH CAROLINA
1000370.0,CITY OF GARLAND TEXAS
1000371.0,WASTE CONNECTIONS US INC
1000372.0,CITY OF DENTON TEXAS
1000373.0,NAUTILUS POWER LLC
1000375.0,AMERICAN ELECTRIC POWER CO INC
1000376.0,ARCHER DANIELS MIDLAND CO
1000377.0,INTERNATIONAL PAPER CO
1000378.0,ABBOTT LABORATORIES
1000380.0,GENERAL MOTORS CO
1000381.0,CITY OF DOUGLAS GEORGIA
1000382.0,WINNESHIEK COUNTY SANITARY LANDFILL
1000383.0,BIOGEN INC
1000388.0,TOWN OF MIDDLEBOROUGH MASSACHUSETTS
1000394.0,GERDAU USA INC
1000395.0,CITY OF LUBBOCK TEXAS TEXAS
1000396.0,STATE OF OHIO
1000398.0,ARGO INFRASTRUCTURE PARTNERS LP
1000399.0,AMPCO-PITTSBURGH CORP
1000401.0,PRIMARY PRODUCTS INGREDIENTS AMERICAS LLC
1000402.0,DUKE ENERGY CORP
1000403.0,SPANGLER COMPANIES INC
1000404.0,BERKSHIRE HATHAWAY INC
1000405.0,WESTERN PLAINS ENERGY LLC
1000407.0,CARGILL INC
1000408.0,THE REGENTS OF THE UNIVERSITY OF MICHIGAN
1000409.0,GRAPHIC PACKAGING HOLDING CO
1000410.0,SEMPRA ENERGY INC
1000411.0,LIMA REFINING CO
1000413.0,ALTO INGREDIENTS INC
1000414.0,WESTERN MINNESOTA MUNICIPAL POWER AGENCY
1000415.0,Verbio North America
1000417.0,PRAIRIE POWER INC
1000418.0,US STEEL CORP
1000419.0,BERKSHIRE HATHAWAY INC
1000420.0,J POWER USA DEVELOPMENT CO LTD
1000421.0,WEC Energy Group Inc
1000422.0,Enery Holdings LLC
1000423.0,CITY OF COLTON CALIFORNIA
1000424.0,XCEL ENERGY INC
1000425.0,MERCER COUNTY SOLID WASTE AUTHORITY
1000426.0,WESTROCK CO
1000427.0,PWI INC (PAPERWORKS INDUSTRIES INC)
1000429.0,POLLUTION CONTROL FINANCING AUTHORITY
1000431.0,CLEARWAY ENERGY INC
1000432.0,Vistra Corp
1000434.0,INTERNATIONAL PAPER CO
1000435.0,MERIT ENERGY CO LLC
1000436.0,BERKSHIRE HATHAWAY INC
1000437.0,SOUTHWEST GENERATION OPERATING CO LLC
1000438.0,MODESTO IRRIGATION DISTRICT INC
1000439.0,PG&E CORP
1000441.0,MALTEUROP NORTH AMERICA INC
1000442.0,FOSTER FARMS
1000444.0,UAMPS
1000445.0,ALLIANT ENERGY CORP
1000446.0,NEWMONT CORP
1000447.0,SEMPRA ENERGY INC
1000448.0,CITY OF AMES IOWA
1000449.0,EVERGY INC
1000450.0,CAITHNESS LONG ISLAND LLC
